Datetime,Open,High,Low,Close,Volume
2023-04-25 04:00:00-04:00,314.92,315.14,314.28,314.31,0
2023-04-25 04:01:00-04:00,314.32,314.47,314.29,314.29,0
2023-04-25 04:02:00-04:00,314.29,314.34,314.17,314.34,0
2023-04-25 04:03:00-04:00,314.37,314.4,314.28,314.33,0
2023-04-25 04:04:00-04:00,314.38,314.45,314.38,314.45,0
2023-04-25 04:05:00-04:00,314.52,314.56,314.49,314.51,0
2023-04-25 04:06:00-04:00,314.5,314.5,314.44,314.44,0
2023-04-25 04:07:00-04:00,314.45,314.47,314.41,314.41,0
2023-04-25 04:08:00-04:00,314.44,314.5,314.44,314.5,0
2023-04-25 04:09:00-04:00,314.49,314.54,314.47,314.54,0
2023-04-25 04:10:00-04:00,314.51,314.51,314.41,314.41,0
2023-04-25 04:11:00-04:00,314.41,314.5,314.39,314.5,0
2023-04-25 04:12:00-04:00,314.49,314.56,314.48,314.49,0
2023-04-25 04:13:00-04:00,314.47,314.47,314.38,314.38,0
2023-04-25 04:14:00-04:00,314.37,314.38,314.35,314.38,0
2023-04-25 04:15:00-04:00,314.41,314.49,314.41,314.49,0
2023-04-25 04:16:00-04:00,314.46,314.47,314.38,314.38,0
2023-04-25 04:17:00-04:00,314.42,314.43,314.42,314.43,0
2023-04-25 04:18:00-04:00,314.4,314.4,314.38,314.38,0
2023-04-25 04:19:00-04:00,314.35,314.35,314.28,314.28,0
2023-04-25 04:20:00-04:00,314.28,314.28,314.22,314.22,0
2023-04-25 04:21:00-04:00,314.2,314.2,313.78,313.81,0
2023-04-25 04:22:00-04:00,313.83,313.94,313.8,313.89,0
2023-04-25 04:23:00-04:00,313.94,313.94,313.83,313.88,0
2023-04-25 04:24:00-04:00,313.86,313.95,313.82,313.95,0
2023-04-25 04:25:00-04:00,313.97,314.0,313.89,313.91,0
2023-04-25 04:26:00-04:00,313.91,313.93,313.91,313.93,0
2023-04-25 04:27:00-04:00,313.97,314.06,313.96,313.96,0
2023-04-25 04:28:00-04:00,313.96,313.96,313.91,313.95,0
2023-04-25 04:29:00-04:00,313.93,313.93,313.93,313.93,0
2023-04-25 04:30:00-04:00,313.93,313.97,313.87,313.97,0
2023-04-25 04:31:00-04:00,313.94,314.0,313.94,314.0,0
2023-04-25 04:32:00-04:00,314.0,314.07,314.0,314.03,0
2023-04-25 04:33:00-04:00,314.07,314.07,314.07,314.07,0
2023-04-25 04:34:00-04:00,314.1,314.24,314.1,314.24,0
2023-04-25 04:35:00-04:00,314.23,314.28,314.23,314.28,0
2023-04-25 04:36:00-04:00,314.21,314.24,314.2,314.24,0
2023-04-25 04:37:00-04:00,314.33,314.33,314.29,314.29,0
2023-04-25 04:38:00-04:00,314.29,314.42,314.29,314.42,0
2023-04-25 04:39:00-04:00,314.44,314.48,314.4,314.47,0
2023-04-25 04:40:00-04:00,314.47,314.65,314.47,314.65,0
2023-04-25 04:41:00-04:00,314.68,314.69,314.65,314.65,0
2023-04-25 04:42:00-04:00,314.6,314.61,314.6,314.6,0
2023-04-25 04:43:00-04:00,314.57,314.6,314.57,314.6,0
2023-04-25 04:44:00-04:00,314.56,314.58,314.55,314.56,0
2023-04-25 04:45:00-04:00,314.6,314.6,314.55,314.6,0
2023-04-25 04:46:00-04:00,314.62,314.65,314.62,314.65,0
2023-04-25 04:47:00-04:00,314.56,314.56,314.53,314.53,0
2023-04-25 04:49:00-04:00,314.52,314.63,314.52,314.63,0
2023-04-25 04:50:00-04:00,314.61,314.61,314.51,314.51,0
2023-04-25 04:51:00-04:00,314.52,314.52,314.49,314.5,0
2023-04-25 04:52:00-04:00,314.47,314.52,314.47,314.52,0
2023-04-25 04:53:00-04:00,314.47,314.47,314.42,314.42,0
2023-04-25 04:54:00-04:00,314.46,314.46,314.42,314.42,0
2023-04-25 04:55:00-04:00,314.38,314.44,314.38,314.44,0
2023-04-25 04:56:00-04:00,314.41,314.48,314.41,314.48,0
2023-04-25 04:57:00-04:00,314.44,314.5,314.44,314.5,0
2023-04-25 04:58:00-04:00,314.38,314.39,314.38,314.39,0
